dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
cifar10,alexnet,15,0.1,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.2783,0.4227,0.5745,0.4131,0.337,0.2021
cifar10,alexnet,15,0.11,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8167,0.2783,0.4225,0.5742,0.4129,0.337,0.2022
cifar10,alexnet,15,0.12,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8168,0.2785,0.4225,0.5742,0.4128,0.3371,0.2023
cifar10,alexnet,15,0.13,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8162,0.2785,0.4226,0.5745,0.4122,0.3364,0.2014
cifar10,alexnet,15,0.14,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8153,0.2785,0.4228,0.5747,0.4113,0.3353,0.2003
cifar10,alexnet,15,0.15,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8148,0.2786,0.4227,0.5749,0.4107,0.3349,0.1996
cifar10,alexnet,15,0.16,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8146,0.2786,0.4227,0.5756,0.4105,0.3347,0.1987
cifar10,alexnet,15,0.17,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8146,0.2787,0.4226,0.5753,0.4104,0.3348,0.199
cifar10,alexnet,15,0.18,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8141,0.2787,0.4226,0.5756,0.4099,0.3343,0.1982
cifar10,alexnet,15,0.19,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8139,0.2787,0.4225,0.5758,0.4097,0.3342,0.1978
cifar10,alexnet,15,0.2,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8135,0.2786,0.4226,0.576,0.4094,0.3337,0.1972
cifar10,alexnet,15,0.21,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8128,0.2785,0.4226,0.5764,0.4088,0.333,0.1961
cifar10,alexnet,15,0.22,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.812,0.2784,0.423,0.5764,0.4081,0.3318,0.1953
cifar10,alexnet,15,0.23,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8119,0.2784,0.4228,0.5764,0.408,0.3319,0.1952
cifar10,alexnet,15,0.24,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8108,0.2785,0.4229,0.5767,0.4068,0.3307,0.1938
cifar10,alexnet,15,0.25,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8106,0.2785,0.4229,0.5767,0.4066,0.3305,0.1936
cifar10,alexnet,15,0.26,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8102,0.2786,0.4228,0.5767,0.4061,0.3302,0.1932
cifar10,alexnet,15,0.27,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8102,0.2787,0.423,0.577,0.406,0.33,0.1929
cifar10,alexnet,15,0.28,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8092,0.2787,0.423,0.5772,0.405,0.329,0.1917
cifar10,alexnet,15,0.29,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8082,0.2787,0.4231,0.5777,0.404,0.3279,0.1902
cifar10,alexnet,15,0.3,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8073,0.2786,0.4231,0.5779,0.4032,0.327,0.1891
cifar10,alexnet,15,0.31,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8062,0.2786,0.4229,0.578,0.4021,0.3261,0.1879
cifar10,alexnet,15,0.32,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8062,0.2787,0.4228,0.5778,0.402,0.3262,0.1881
cifar10,alexnet,15,0.33,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8062,0.2787,0.4229,0.5778,0.402,0.3261,0.1881
cifar10,alexnet,15,0.34,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8054,0.2787,0.4229,0.5778,0.4012,0.3253,0.1873
cifar10,alexnet,15,0.35,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8051,0.2787,0.4231,0.5779,0.4009,0.3248,0.1869
cifar10,alexnet,15,0.36,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8042,0.2787,0.4233,0.5781,0.4,0.3237,0.1858
cifar10,alexnet,15,0.37,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8038,0.2787,0.4233,0.5783,0.3996,0.3233,0.1852
cifar10,alexnet,15,0.38,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8037,0.2788,0.4233,0.5782,0.3994,0.3232,0.1852
cifar10,alexnet,15,0.39,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8038,0.2789,0.4233,0.5784,0.3994,0.3233,0.1851
cifar10,alexnet,15,0.4,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8032,0.279,0.4234,0.5785,0.3987,0.3226,0.1844
cifar10,alexnet,15,0.41,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8029,0.279,0.4233,0.5783,0.3984,0.3224,0.1843
cifar10,alexnet,15,0.42,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8026,0.279,0.4233,0.5787,0.3981,0.3221,0.1836
cifar10,alexnet,15,0.43,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8022,0.279,0.4234,0.5785,0.3977,0.3216,0.1834
cifar10,alexnet,15,0.44,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8021,0.2789,0.4235,0.5786,0.3977,0.3214,0.1832
cifar10,alexnet,15,0.45,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8017,0.279,0.4235,0.579,0.3972,0.321,0.1824
cifar10,alexnet,15,0.46,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8017,0.2789,0.4235,0.5791,0.3973,0.321,0.1823
cifar10,alexnet,15,0.47,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8012,0.2789,0.4236,0.5794,0.3968,0.3204,0.1815
cifar10,alexnet,15,0.48,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8008,0.2789,0.4236,0.5796,0.3964,0.32,0.1809
cifar10,alexnet,15,0.49,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8005,0.2787,0.4236,0.5798,0.3963,0.3197,0.1804
cifar10,alexnet,15,0.5,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.7997,0.2787,0.4236,0.5798,0.3955,0.3189,0.1796
