dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
cifar10,alexnet,15,0.1,2.0,2.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.5544,0.702,0.7818,0.137,0.0577,-0.0052
cifar10,alexnet,15,0.1,2.0,2.1,0.8211,0.6956,0.7639,0.7808,0.8169,0.5417,0.6936,0.7819,0.1497,0.0661,-0.0053
cifar10,alexnet,15,0.1,2.0,2.2,0.8211,0.6956,0.7639,0.7808,0.8169,0.5277,0.6865,0.7819,0.1637,0.0732,-0.0053
cifar10,alexnet,15,0.1,2.0,2.3,0.8211,0.6956,0.7639,0.7808,0.8169,0.5159,0.6789,0.7819,0.1755,0.0808,-0.0053
cifar10,alexnet,15,0.1,2.0,2.4,0.8211,0.6956,0.7639,0.7808,0.8169,0.5051,0.6707,0.7819,0.1863,0.089,-0.0053
cifar10,alexnet,15,0.1,2.0,2.5,0.8211,0.6956,0.7639,0.7808,0.8169,0.4934,0.6626,0.7818,0.198,0.0971,-0.0052
cifar10,alexnet,15,0.1,2.0,2.6,0.8211,0.6956,0.7639,0.7808,0.8169,0.4809,0.6533,0.7817,0.2105,0.1064,-0.0051
cifar10,alexnet,15,0.1,2.0,2.7,0.8211,0.6956,0.7639,0.7808,0.8169,0.4695,0.6449,0.7816,0.2219,0.1148,-0.005
cifar10,alexnet,15,0.1,2.0,2.8,0.8211,0.6956,0.7639,0.7808,0.8169,0.4593,0.6363,0.7812,0.2321,0.1234,-0.0046
cifar10,alexnet,15,0.1,2.0,2.9,0.8211,0.6956,0.7639,0.7808,0.8169,0.4496,0.628,0.7812,0.2418,0.1317,-0.0046
cifar10,alexnet,15,0.1,2.0,3.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.4411,0.6201,0.7811,0.2503,0.1396,-0.0045
cifar10,alexnet,15,0.1,2.0,3.1,0.8211,0.6956,0.7639,0.7808,0.8169,0.4323,0.6132,0.6746,0.2591,0.1465,0.102
cifar10,alexnet,15,0.1,2.0,3.2,0.8211,0.6956,0.7639,0.7808,0.8169,0.4227,0.6057,0.6351,0.2687,0.154,0.1415
cifar10,alexnet,15,0.1,2.0,3.3,0.8211,0.6956,0.7639,0.7808,0.8169,0.4141,0.5988,0.6153,0.2773,0.1609,0.1613
cifar10,alexnet,15,0.1,2.0,3.4,0.8211,0.6956,0.7639,0.7808,0.8169,0.4062,0.5906,0.6017,0.2852,0.1691,0.1749
cifar10,alexnet,15,0.1,2.0,3.5,0.8211,0.6956,0.7639,0.7808,0.8169,0.3993,0.5827,0.5939,0.2921,0.177,0.1827
cifar10,alexnet,15,0.1,2.0,3.6,0.8211,0.6956,0.7639,0.7808,0.8169,0.3927,0.5743,0.5868,0.2987,0.1854,0.1898
cifar10,alexnet,15,0.1,2.0,3.7,0.8211,0.6956,0.7639,0.7808,0.8169,0.3846,0.5668,0.5816,0.3068,0.1929,0.195
cifar10,alexnet,15,0.1,2.0,3.8,0.8211,0.6956,0.7639,0.7808,0.8169,0.3777,0.5593,0.5775,0.3137,0.2004,0.1991
cifar10,alexnet,15,0.1,2.0,3.9,0.8211,0.6956,0.7639,0.7808,0.8169,0.3707,0.5523,0.5743,0.3207,0.2074,0.2023
cifar10,alexnet,15,0.1,2.0,4.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.3638,0.5456,0.5721,0.3276,0.2141,0.2045
cifar10,alexnet,15,0.1,2.0,4.1,0.8211,0.6956,0.7639,0.7808,0.8169,0.3579,0.5381,0.5703,0.3335,0.2216,0.2063
cifar10,alexnet,15,0.1,2.0,4.2,0.8211,0.6956,0.7639,0.7808,0.8169,0.3514,0.5313,0.5692,0.34,0.2284,0.2074
cifar10,alexnet,15,0.1,2.0,4.3,0.8211,0.6956,0.7639,0.7808,0.8169,0.3466,0.5237,0.5683,0.3448,0.236,0.2083
cifar10,alexnet,15,0.1,2.0,4.4,0.8211,0.6956,0.7639,0.7808,0.8169,0.3422,0.5168,0.5678,0.3492,0.2429,0.2088
cifar10,alexnet,15,0.1,2.0,4.5,0.8211,0.6956,0.7639,0.7808,0.8169,0.3364,0.5093,0.5674,0.355,0.2504,0.2092
cifar10,alexnet,15,0.1,2.0,4.6,0.8211,0.6956,0.7639,0.7808,0.8169,0.3317,0.5023,0.5667,0.3597,0.2574,0.2099
cifar10,alexnet,15,0.1,2.0,4.7,0.8211,0.6956,0.7639,0.7808,0.8169,0.327,0.496,0.5663,0.3644,0.2637,0.2103
cifar10,alexnet,15,0.1,2.0,4.8,0.8211,0.6956,0.7639,0.7808,0.8169,0.3232,0.4897,0.5661,0.3682,0.27,0.2105
cifar10,alexnet,15,0.1,2.0,4.9,0.8211,0.6956,0.7639,0.7808,0.8169,0.3188,0.4833,0.5663,0.3726,0.2764,0.2103
cifar10,alexnet,15,0.1,2.0,5.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.3143,0.4781,0.5668,0.3771,0.2816,0.2098
cifar10,alexnet,15,0.1,2.0,5.1,0.8211,0.6956,0.7639,0.7808,0.8169,0.3097,0.4718,0.5673,0.3817,0.2879,0.2093
cifar10,alexnet,15,0.1,2.0,5.2,0.8211,0.6956,0.7639,0.7808,0.8169,0.3064,0.4661,0.5681,0.385,0.2936,0.2085
cifar10,alexnet,15,0.1,2.0,5.3,0.8211,0.6956,0.7639,0.7808,0.8169,0.303,0.4607,0.5685,0.3884,0.299,0.2081
cifar10,alexnet,15,0.1,2.0,5.4,0.8211,0.6956,0.7639,0.7808,0.8169,0.299,0.4535,0.569,0.3924,0.3062,0.2076
cifar10,alexnet,15,0.1,2.0,5.5,0.8211,0.6956,0.7639,0.7808,0.8169,0.2955,0.4483,0.5698,0.3959,0.3114,0.2068
cifar10,alexnet,15,0.1,2.0,5.6,0.8211,0.6956,0.7639,0.7808,0.8169,0.2918,0.4437,0.5708,0.3996,0.316,0.2058
cifar10,alexnet,15,0.1,2.0,5.7,0.8211,0.6956,0.7639,0.7808,0.8169,0.288,0.4383,0.5717,0.4034,0.3214,0.2049
cifar10,alexnet,15,0.1,2.0,5.8,0.8211,0.6956,0.7639,0.7808,0.8169,0.2848,0.4323,0.5726,0.4066,0.3274,0.204
cifar10,alexnet,15,0.1,2.0,5.9,0.8211,0.6956,0.7639,0.7808,0.8169,0.2813,0.4276,0.573,0.4101,0.3321,0.2036
cifar10,alexnet,15,0.1,2.0,6.0,0.8211,0.6956,0.7639,0.7808,0.8169,0.2783,0.4227,0.5745,0.4131,0.337,0.2021
