dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
imagenet-10,alexnet,15,0.1,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8188,0.2245,0.3022,0.4873,0.3731,0.4181,0.4195,0.2816
imagenet-10,alexnet,15,0.11,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8177,0.2243,0.3024,0.4778,0.3751,0.4172,0.4182,0.29
imagenet-10,alexnet,15,0.12,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8173,0.2245,0.3024,0.4729,0.3763,0.4166,0.4178,0.2945
imagenet-10,alexnet,15,0.13,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2246,0.3022,0.47,0.3769,0.4161,0.4176,0.297
imagenet-10,alexnet,15,0.14,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8162,0.2248,0.3025,0.4483,0.3833,0.4152,0.4166,0.318
imagenet-10,alexnet,15,0.15,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.815,0.2249,0.3025,0.4507,0.3812,0.4139,0.4154,0.3144
imagenet-10,alexnet,15,0.16,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8138,0.2249,0.3027,0.4531,0.3792,0.4127,0.414,0.3108
imagenet-10,alexnet,15,0.17,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8131,0.2249,0.3031,0.4481,0.38,0.412,0.4129,0.3151
imagenet-10,alexnet,15,0.18,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8131,0.2249,0.3031,0.4458,0.3808,0.412,0.4129,0.3174
imagenet-10,alexnet,15,0.19,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8119,0.2248,0.3029,0.4424,0.3808,0.4109,0.4119,0.3196
imagenet-10,alexnet,15,0.2,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8115,0.2248,0.3031,0.4396,0.3813,0.4105,0.4113,0.322
imagenet-10,alexnet,15,0.21,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8104,0.2248,0.3036,0.4344,0.3817,0.4094,0.4097,0.3261
imagenet-10,alexnet,15,0.22,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.81,0.2248,0.3036,0.4325,0.382,0.409,0.4093,0.3276
imagenet-10,alexnet,15,0.23,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8088,0.2248,0.3039,0.4317,0.3809,0.4078,0.4078,0.3272
imagenet-10,alexnet,15,0.24,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8088,0.2248,0.304,0.4284,0.382,0.4078,0.4077,0.3305
imagenet-10,alexnet,15,0.25,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8077,0.2246,0.3043,0.4244,0.3822,0.4069,0.4063,0.3334
imagenet-10,alexnet,15,0.26,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8073,0.2245,0.304,0.423,0.3824,0.4066,0.4062,0.3344
imagenet-10,alexnet,15,0.27,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8058,0.2246,0.304,0.4219,0.3812,0.405,0.4047,0.334
imagenet-10,alexnet,15,0.28,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8058,0.2245,0.3043,0.4205,0.3816,0.4051,0.4044,0.3354
imagenet-10,alexnet,15,0.29,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.805,0.2245,0.3042,0.4198,0.3811,0.4043,0.4037,0.3353
imagenet-10,alexnet,15,0.3,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8038,0.2245,0.3043,0.4185,0.3803,0.4031,0.4024,0.3354
imagenet-10,alexnet,15,0.31,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8038,0.2245,0.3044,0.4176,0.3806,0.4031,0.4023,0.3363
imagenet-10,alexnet,15,0.32,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8023,0.2245,0.3048,0.4167,0.3792,0.4016,0.4004,0.3357
imagenet-10,alexnet,15,0.33,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8012,0.2245,0.3047,0.416,0.3784,0.4005,0.3994,0.3353
imagenet-10,alexnet,15,0.34,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8019,0.2245,0.3048,0.415,0.3794,0.4012,0.4,0.337
imagenet-10,alexnet,15,0.35,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8015,0.2243,0.3048,0.4134,0.3796,0.401,0.3996,0.3382
imagenet-10,alexnet,15,0.36,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8012,0.2243,0.3044,0.4123,0.3798,0.4007,0.3997,0.339
imagenet-10,alexnet,15,0.37,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8,0.2242,0.3043,0.4117,0.3789,0.3996,0.3986,0.3384
imagenet-10,alexnet,15,0.38,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7996,0.2242,0.3042,0.4106,0.3789,0.3992,0.3983,0.3391
imagenet-10,alexnet,15,0.39,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7996,0.2242,0.304,0.4108,0.3789,0.3992,0.3985,0.3389
imagenet-10,alexnet,15,0.4,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7981,0.2242,0.3044,0.4102,0.3774,0.3977,0.3966,0.338
imagenet-10,alexnet,15,0.41,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7977,0.2242,0.3043,0.409,0.3775,0.3973,0.3963,0.3388
imagenet-10,alexnet,15,0.42,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7973,0.2242,0.304,0.4084,0.3774,0.3969,0.3962,0.339
imagenet-10,alexnet,15,0.43,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7962,0.2242,0.3038,0.4072,0.3767,0.3958,0.3953,0.3391
imagenet-10,alexnet,15,0.44,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.795,0.2242,0.3036,0.406,0.376,0.3946,0.3943,0.3391
imagenet-10,alexnet,15,0.45,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7938,0.2242,0.3036,0.4039,0.3755,0.3934,0.3931,0.34
imagenet-10,alexnet,15,0.46,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7931,0.2242,0.3036,0.4031,0.3751,0.3927,0.3924,0.3401
imagenet-10,alexnet,15,0.47,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7927,0.2242,0.3035,0.4012,0.3753,0.3923,0.3921,0.3416
imagenet-10,alexnet,15,0.48,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7919,0.2239,0.3039,0.4005,0.3747,0.3918,0.3909,0.3415
imagenet-10,alexnet,15,0.49,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.7912,0.2239,0.3038,0.4002,0.3742,0.3911,0.3903,0.3411
imagenet-10,alexnet,15,0.5,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.79,0.2237,0.304,0.3991,0.3733,0.3901,0.3889,0.341
