dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
imagenet-10,alexnet,15,0.1,2.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8188,0.2245,0.3022,0.4873,0.3731,0.4181,0.4195,0.2816
imagenet-10,alexnet,15,0.1,2.1,6.0,0.8223,0.6461,0.7252,0.7724,0.8181,0.2245,0.3022,0.4865,0.3726,0.4174,0.4188,0.2817
imagenet-10,alexnet,15,0.1,2.2,6.0,0.8223,0.6461,0.7252,0.7724,0.8177,0.2245,0.3024,0.481,0.374,0.417,0.4182,0.2868
imagenet-10,alexnet,15,0.1,2.3,6.0,0.8223,0.6461,0.7252,0.7724,0.8177,0.2243,0.3024,0.4804,0.3743,0.4172,0.4182,0.2874
imagenet-10,alexnet,15,0.1,2.4,6.0,0.8223,0.6461,0.7252,0.7724,0.8177,0.2243,0.3022,0.4795,0.3746,0.4172,0.4184,0.2883
imagenet-10,alexnet,15,0.1,2.5,6.0,0.8223,0.6461,0.7252,0.7724,0.8173,0.2243,0.3022,0.4785,0.3746,0.4168,0.418,0.2889
imagenet-10,alexnet,15,0.1,2.6,6.0,0.8223,0.6461,0.7252,0.7724,0.8173,0.2245,0.3024,0.4782,0.3745,0.4166,0.4178,0.2892
imagenet-10,alexnet,15,0.1,2.7,6.0,0.8223,0.6461,0.7252,0.7724,0.8173,0.2245,0.3024,0.477,0.3749,0.4166,0.4178,0.2904
imagenet-10,alexnet,15,0.1,2.8,6.0,0.8223,0.6461,0.7252,0.7724,0.8173,0.2245,0.3024,0.4764,0.3751,0.4166,0.4178,0.291
imagenet-10,alexnet,15,0.1,2.9,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2246,0.3022,0.4749,0.3753,0.4161,0.4176,0.2921
imagenet-10,alexnet,15,0.1,3.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2246,0.3022,0.4766,0.3747,0.4161,0.4176,0.2904
imagenet-10,alexnet,15,0.1,3.1,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2248,0.3025,0.4751,0.375,0.4159,0.4173,0.2919
imagenet-10,alexnet,15,0.1,3.2,6.0,0.8223,0.6461,0.7252,0.7724,0.8181,0.2248,0.3025,0.4733,0.3768,0.4171,0.4185,0.2949
imagenet-10,alexnet,15,0.1,3.4,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2249,0.3024,0.4711,0.3764,0.4158,0.4174,0.2959
imagenet-10,alexnet,15,0.1,3.4,6.0,0.8223,0.6461,0.7252,0.7724,0.8169,0.2249,0.3024,0.4711,0.3764,0.4158,0.4174,0.2959
imagenet-10,alexnet,15,0.1,3.5,6.0,0.8223,0.6461,0.7252,0.7724,0.8165,0.2249,0.3025,0.4569,0.3807,0.4154,0.4169,0.3097
imagenet-10,alexnet,15,0.1,3.6,6.0,0.8223,0.6461,0.7252,0.7724,0.8162,0.2249,0.3025,0.465,0.3777,0.4151,0.4166,0.3013
imagenet-10,alexnet,15,0.1,3.7,6.0,0.8223,0.6461,0.7252,0.7724,0.8154,0.2249,0.3024,0.4641,0.3772,0.4143,0.4159,0.3014
imagenet-10,alexnet,15,0.1,3.8,6.0,0.8223,0.6461,0.7252,0.7724,0.815,0.2249,0.3027,0.4611,0.3777,0.4139,0.4152,0.304
imagenet-10,alexnet,15,0.1,3.9,6.0,0.8223,0.6461,0.7252,0.7724,0.8142,0.2249,0.3028,0.4668,0.375,0.4131,0.4143,0.2975
imagenet-10,alexnet,15,0.1,4.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8142,0.2249,0.3028,0.4654,0.3754,0.4131,0.4143,0.2989
imagenet-10,alexnet,15,0.1,4.1,6.0,0.8223,0.6461,0.7252,0.7724,0.8142,0.2249,0.3031,0.4626,0.3763,0.4131,0.414,0.3017
imagenet-10,alexnet,15,0.1,4.2,6.0,0.8223,0.6461,0.7252,0.7724,0.8135,0.225,0.3032,0.462,0.3757,0.4123,0.4132,0.3016
imagenet-10,alexnet,15,0.1,4.3,6.0,0.8223,0.6461,0.7252,0.7724,0.8142,0.225,0.3029,0.4612,0.3768,0.413,0.4142,0.3031
imagenet-10,alexnet,15,0.1,4.4,6.0,0.8223,0.6461,0.7252,0.7724,0.8146,0.2249,0.3031,0.4598,0.3776,0.4135,0.4144,0.3049
imagenet-10,alexnet,15,0.1,4.5,6.0,0.8223,0.6461,0.7252,0.7724,0.8142,0.2248,0.3029,0.4595,0.3774,0.4132,0.4142,0.3048
imagenet-10,alexnet,15,0.1,4.6,6.0,0.8223,0.6461,0.7252,0.7724,0.8138,0.2248,0.3028,0.458,0.3775,0.4128,0.4139,0.3059
imagenet-10,alexnet,15,0.1,4.7,6.0,0.8223,0.6461,0.7252,0.7724,0.8131,0.2248,0.3029,0.4571,0.3771,0.4121,0.4131,0.3061
imagenet-10,alexnet,15,0.1,4.8,6.0,0.8223,0.6461,0.7252,0.7724,0.8127,0.2248,0.3029,0.4564,0.3769,0.4117,0.4127,0.3064
imagenet-10,alexnet,15,0.1,4.9,6.0,0.8223,0.6461,0.7252,0.7724,0.8127,0.2248,0.3031,0.456,0.377,0.4117,0.4125,0.3068
imagenet-10,alexnet,15,0.1,5.0,6.0,0.8223,0.6461,0.7252,0.7724,0.8119,0.2248,0.3031,0.4564,0.3761,0.4109,0.4117,0.3056
imagenet-10,alexnet,15,0.1,5.1,6.0,0.8223,0.6461,0.7252,0.7724,0.8119,0.2248,0.3032,0.4527,0.3773,0.4109,0.4116,0.3093
imagenet-10,alexnet,15,0.1,5.2,6.0,0.8223,0.6461,0.7252,0.7724,0.8119,0.2248,0.3035,0.4528,0.3771,0.4109,0.4113,0.3092
imagenet-10,alexnet,15,0.1,5.3,6.0,0.8223,0.6461,0.7252,0.7724,0.8119,0.2248,0.3036,0.4528,0.3771,0.4109,0.4112,0.3092
