dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
imagenet-10,alexnet,15,0.1,2.0,2.0,0.8223,0.6461,0.7252,0.7724,0.8188,0.462,0.6329,0.4113,0.209,0.1806,0.0888,0.3576
imagenet-10,alexnet,15,0.1,2.0,2.1,0.8223,0.6461,0.7252,0.7724,0.8188,0.4473,0.6196,0.4018,0.2215,0.1953,0.1021,0.3671
imagenet-10,alexnet,15,0.1,2.0,2.2,0.8223,0.6461,0.7252,0.7724,0.8188,0.431,0.6063,0.3984,0.2325,0.2116,0.1154,0.3705
imagenet-10,alexnet,15,0.1,2.0,2.3,0.8223,0.6461,0.7252,0.7724,0.8188,0.4139,0.5965,0.3939,0.243,0.2287,0.1252,0.375
imagenet-10,alexnet,15,0.1,2.0,2.4,0.8223,0.6461,0.7252,0.7724,0.8188,0.4032,0.5866,0.3896,0.2513,0.2394,0.1351,0.3793
imagenet-10,alexnet,15,0.1,2.0,2.5,0.8223,0.6461,0.7252,0.7724,0.8188,0.3903,0.5765,0.3881,0.2594,0.2523,0.1452,0.3808
imagenet-10,alexnet,15,0.1,2.0,2.6,0.8223,0.6461,0.7252,0.7724,0.8188,0.3822,0.5667,0.3859,0.2661,0.2604,0.155,0.383
imagenet-10,alexnet,15,0.1,2.0,2.7,0.8223,0.6461,0.7252,0.7724,0.8188,0.3698,0.5554,0.3865,0.2738,0.2728,0.1663,0.3824
imagenet-10,alexnet,15,0.1,2.0,2.8,0.8223,0.6461,0.7252,0.7724,0.8188,0.3582,0.545,0.3851,0.2816,0.2844,0.1767,0.3838
imagenet-10,alexnet,15,0.1,2.0,2.9,0.8223,0.6461,0.7252,0.7724,0.8188,0.3477,0.5337,0.3867,0.2884,0.2949,0.188,0.3822
imagenet-10,alexnet,15,0.1,2.0,3.0,0.8223,0.6461,0.7252,0.7724,0.8188,0.3378,0.5238,0.3867,0.295,0.3048,0.1979,0.3822
imagenet-10,alexnet,15,0.1,2.0,3.1,0.8223,0.6461,0.7252,0.7724,0.8188,0.3294,0.5116,0.388,0.3014,0.3132,0.2101,0.3809
imagenet-10,alexnet,15,0.1,2.0,3.2,0.8223,0.6461,0.7252,0.7724,0.8188,0.3195,0.5017,0.3888,0.3077,0.3231,0.22,0.3801
imagenet-10,alexnet,15,0.1,2.0,3.3,0.8223,0.6461,0.7252,0.7724,0.8188,0.3112,0.4898,0.3918,0.3135,0.3314,0.2319,0.3771
imagenet-10,alexnet,15,0.1,2.0,3.4,0.8223,0.6461,0.7252,0.7724,0.8188,0.2998,0.4793,0.3933,0.3203,0.3428,0.2424,0.3756
imagenet-10,alexnet,15,0.1,2.0,3.5,0.8223,0.6461,0.7252,0.7724,0.8188,0.2943,0.4708,0.3955,0.3242,0.3483,0.2509,0.3734
imagenet-10,alexnet,15,0.1,2.0,3.6,0.8223,0.6461,0.7252,0.7724,0.8188,0.2908,0.4608,0.3974,0.3281,0.3518,0.2609,0.3715
imagenet-10,alexnet,15,0.1,2.0,3.7,0.8223,0.6461,0.7252,0.7724,0.8188,0.2833,0.4525,0.398,0.3331,0.3593,0.2692,0.3709
imagenet-10,alexnet,15,0.1,2.0,3.8,0.8223,0.6461,0.7252,0.7724,0.8188,0.2776,0.4451,0.4018,0.3362,0.365,0.2766,0.3671
