dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
sst2,distilbert,15,0.1,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2145,0.7878,0.7371,0.2079,0.5745,0.006,0.0433
sst2,distilbert,15,0.11,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2166,0.7877,0.7369,0.2073,0.5724,0.0061,0.0435
sst2,distilbert,15,0.12,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2181,0.7875,0.7369,0.2069,0.5709,0.0063,0.0435
sst2,distilbert,15,0.13,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8853,0.2196,0.7874,0.7368,0.2076,0.5705,0.0075,0.0447
sst2,distilbert,15,0.14,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8853,0.2211,0.7872,0.7364,0.2073,0.569,0.0077,0.0451
sst2,distilbert,15,0.15,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2229,0.7872,0.7361,0.208,0.5684,0.0089,0.0466
sst2,distilbert,15,0.16,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2245,0.7871,0.7359,0.2075,0.5668,0.009,0.0468
sst2,distilbert,15,0.17,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2259,0.7868,0.7358,0.2072,0.5654,0.0093,0.0469
sst2,distilbert,15,0.18,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2271,0.7869,0.7359,0.2067,0.5642,0.0092,0.0468
sst2,distilbert,15,0.19,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2282,0.7867,0.7357,0.2065,0.5631,0.0094,0.047
sst2,distilbert,15,0.2,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8865,0.2292,0.7867,0.7358,0.2061,0.5621,0.0094,0.0469
sst2,distilbert,15,0.21,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8876,0.2307,0.7865,0.7356,0.2069,0.5617,0.0107,0.0482
sst2,distilbert,15,0.22,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8899,0.2319,0.7864,0.7356,0.2088,0.5628,0.0131,0.0505
sst2,distilbert,15,0.23,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8899,0.233,0.7865,0.7353,0.2085,0.5617,0.013,0.0508
sst2,distilbert,15,0.24,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8911,0.234,0.7864,0.7353,0.2094,0.5619,0.0143,0.052
sst2,distilbert,15,0.25,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8911,0.2354,0.7863,0.735,0.2091,0.5605,0.0144,0.0523
