dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
sst2,distilbert,15,0.1,2.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2145,0.7878,0.7371,0.2079,0.5745,0.006,0.0433
sst2,distilbert,15,0.1,2.1,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.215,0.7878,0.7371,0.2078,0.574,0.006,0.0433
sst2,distilbert,15,0.1,2.2,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2159,0.7877,0.737,0.2075,0.5731,0.0061,0.0434
sst2,distilbert,15,0.1,2.3,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2166,0.7877,0.737,0.2073,0.5724,0.0061,0.0434
sst2,distilbert,15,0.1,2.4,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2172,0.7877,0.7369,0.2071,0.5718,0.0061,0.0435
sst2,distilbert,15,0.1,2.5,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2176,0.7876,0.7369,0.207,0.5714,0.0062,0.0435
sst2,distilbert,15,0.1,2.6,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2181,0.7875,0.7369,0.2069,0.5709,0.0063,0.0435
sst2,distilbert,15,0.1,2.7,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2186,0.7874,0.7371,0.2067,0.5704,0.0064,0.0433
sst2,distilbert,15,0.1,2.8,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2189,0.7874,0.737,0.2066,0.5701,0.0064,0.0434
sst2,distilbert,15,0.1,2.9,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2196,0.7873,0.7368,0.2065,0.5694,0.0065,0.0436
sst2,distilbert,15,0.1,3.0,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2198,0.7874,0.7367,0.2064,0.5692,0.0064,0.0437
sst2,distilbert,15,0.1,3.1,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2206,0.7873,0.7366,0.2062,0.5684,0.0065,0.0438
sst2,distilbert,15,0.1,3.2,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2211,0.7873,0.7364,0.2061,0.5679,0.0065,0.044
sst2,distilbert,15,0.1,3.3,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2217,0.7872,0.7363,0.206,0.5673,0.0066,0.0441
sst2,distilbert,15,0.1,3.4,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2221,0.7872,0.7361,0.2059,0.5669,0.0066,0.0443
sst2,distilbert,15,0.1,3.5,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2229,0.7872,0.7361,0.2057,0.5661,0.0066,0.0443
sst2,distilbert,15,0.1,3.6,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2234,0.7872,0.7361,0.2055,0.5656,0.0066,0.0443
sst2,distilbert,15,0.1,3.7,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2239,0.7871,0.736,0.2054,0.5651,0.0067,0.0444
sst2,distilbert,15,0.1,3.8,6.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.2245,0.7871,0.736,0.2052,0.5645,0.0067,0.0444
