dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
sst2,distilbert,15,0.1,2.0,2.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.7711,0.7948,0.7613,0.012,0.0179,-0.001,0.0191
sst2,distilbert,15,0.1,2.0,2.1,0.8865,0.7913,0.7961,0.7827,0.8842,0.768,0.7946,0.7594,0.0137,0.021,-0.0008,0.021
sst2,distilbert,15,0.1,2.0,2.2,0.8865,0.7913,0.7961,0.7827,0.8842,0.7651,0.7944,0.7577,0.0153,0.0239,-0.0006,0.0227
sst2,distilbert,15,0.1,2.0,2.3,0.8865,0.7913,0.7961,0.7827,0.8842,0.762,0.7944,0.7559,0.017,0.027,-0.0006,0.0245
sst2,distilbert,15,0.1,2.0,2.4,0.8865,0.7913,0.7961,0.7827,0.8842,0.7581,0.7943,0.755,0.0186,0.0309,-0.0005,0.0254
sst2,distilbert,15,0.1,2.0,2.5,0.8865,0.7913,0.7961,0.7827,0.8842,0.7542,0.7941,0.7536,0.0204,0.0348,-0.0003,0.0268
sst2,distilbert,15,0.1,2.0,2.6,0.8865,0.7913,0.7961,0.7827,0.8842,0.749,0.7941,0.7521,0.0227,0.04,-0.0003,0.0283
sst2,distilbert,15,0.1,2.0,2.7,0.8865,0.7913,0.7961,0.7827,0.8842,0.7442,0.7939,0.7512,0.0246,0.0448,-0.0001,0.0292
sst2,distilbert,15,0.1,2.0,2.8,0.8865,0.7913,0.7961,0.7827,0.8842,0.738,0.7938,0.7503,0.027,0.051,0.0,0.0301
sst2,distilbert,15,0.1,2.0,2.9,0.8865,0.7913,0.7961,0.7827,0.8842,0.732,0.7937,0.7503,0.0291,0.057,0.0001,0.0301
sst2,distilbert,15,0.1,2.0,3.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.7251,0.7934,0.7491,0.0319,0.0639,0.0004,0.0313
sst2,distilbert,15,0.1,2.0,3.1,0.8865,0.7913,0.7961,0.7827,0.8842,0.7179,0.7933,0.7479,0.0347,0.0711,0.0005,0.0325
